material	Teflon
rho	2.200E+00
keV	ra/rho	cs/rho	pe/rho
40	3.336E-02	1.555E-01	7.591E-02	
50	2.248E-02	1.541E-01	3.656E-02	
60	1.616E-02	1.517E-01	2.007E-02	
70	1.217E-02	1.489E-01	1.209E-02	
80	9.488E-03	1.460E-01	7.787E-03	
90	7.600E-03	1.430E-01	5.285E-03	
100	6.221E-03	1.401E-01	3.738E-03	
110	5.184E-03	1.373E-01	2.734E-03	
120	4.385E-03	1.346E-01	2.056E-03	
130	3.757E-03	1.320E-01	1.583E-03	
140	3.254E-03	1.295E-01	1.243E-03	
150	2.844E-03	1.271E-01	9.932E-04	
160	2.507E-03	1.249E-01	8.057E-04	
170	2.227E-03	1.227E-01	6.623E-04	
180	1.990E-03	1.207E-01	5.510E-04	
190	1.789E-03	1.187E-01	4.633E-04	
200	1.617E-03	1.169E-01	3.933E-04	
