material	Water
rho	1.0
keV	ra/rho	cs/rho	pe/rho
40	2.874E-02	1.827E-01	5.680E-02	
50	1.936E-02	1.803E-01	2.725E-02	
60	1.392E-02	1.770E-01	1.493E-02	
70	1.048E-02	1.734E-01	8.969E-03	
80	8.165E-03	1.697E-01	5.770E-03	
90	6.537E-03	1.661E-01	3.911E-03	
100	5.349E-03	1.626E-01	2.763E-03	
110	4.456E-03	1.593E-01	2.018E-03	
120	3.768E-03	1.561E-01	1.516E-03	
130	3.227E-03	1.530E-01	1.166E-03	
140	2.794E-03	1.501E-01	9.152E-04	
150	2.442E-03	1.474E-01	7.308E-04	
160	2.152E-03	1.447E-01	5.924E-04	
170	1.911E-03	1.422E-01	4.868E-04	
180	1.708E-03	1.398E-01	4.048E-04	
190	1.535E-03	1.375E-01	3.402E-04	
200	1.388E-03	1.353E-01	2.887E-04	
